location,date,vaccine,total_vaccinations
Austria,1/8/2021,Johnson&Johnson,0
Austria,1/8/2021,Moderna,0
Austria,1/8/2021,Oxford/AstraZeneca,0
Austria,1/8/2021,Pfizer/BioNTech,31096
Austria,1/15/2021,Johnson&Johnson,0
Austria,1/15/2021,Moderna,90
Austria,1/15/2021,Oxford/AstraZeneca,0
Austria,1/15/2021,Pfizer/BioNTech,115843
Austria,1/22/2021,Johnson&Johnson,0
Austria,1/22/2021,Moderna,305
Austria,1/22/2021,Oxford/AstraZeneca,0
Austria,1/22/2021,Pfizer/BioNTech,213229
Austria,1/29/2021,Johnson&Johnson,0
Austria,1/29/2021,Moderna,4194
Austria,1/29/2021,Oxford/AstraZeneca,0
Austria,1/29/2021,Pfizer/BioNTech,257942
Austria,2/5/2021,Johnson&Johnson,0
Austria,2/5/2021,Moderna,5881
Austria,2/5/2021,Oxford/AstraZeneca,2
Austria,2/5/2021,Pfizer/BioNTech,353493
Austria,2/12/2021,Johnson&Johnson,0
Austria,2/12/2021,Moderna,9960
Austria,2/12/2021,Oxford/AstraZeneca,10781
Austria,2/12/2021,Pfizer/BioNTech,454977
Austria,2/19/2021,Johnson&Johnson,0
Austria,2/19/2021,Moderna,14083
Austria,2/19/2021,Oxford/AstraZeneca,43539
Austria,2/19/2021,Pfizer/BioNTech,520647
Austria,2/26/2021,Johnson&Johnson,0
Austria,2/26/2021,Moderna,22403
Austria,2/26/2021,Oxford/AstraZeneca,101320
Austria,2/26/2021,Pfizer/BioNTech,581766
Austria,3/5/2021,Johnson&Johnson,0
Austria,3/5/2021,Moderna,31696
Austria,3/5/2021,Oxford/AstraZeneca,156151
Austria,3/5/2021,Pfizer/BioNTech,686118
Austria,3/12/2021,Johnson&Johnson,0
Austria,3/12/2021,Moderna,47032
Austria,3/12/2021,Oxford/AstraZeneca,234780
Austria,3/12/2021,Pfizer/BioNTech,848808
Austria,3/19/2021,Johnson&Johnson,14
Austria,3/19/2021,Moderna,78797
Austria,3/19/2021,Oxford/AstraZeneca,308011
Austria,3/19/2021,Pfizer/BioNTech,981270
Austria,3/26/2021,Johnson&Johnson,26
Austria,3/26/2021,Moderna,104167
Austria,3/26/2021,Oxford/AstraZeneca,383332
Austria,3/26/2021,Pfizer/BioNTech,1127259
Austria,4/2/2021,Johnson&Johnson,44
Austria,4/2/2021,Moderna,140482
Austria,4/2/2021,Oxford/AstraZeneca,421865
Austria,4/2/2021,Pfizer/BioNTech,1275105
Austria,4/9/2021,Johnson&Johnson,82
Austria,4/9/2021,Moderna,179975
Austria,4/9/2021,Oxford/AstraZeneca,512212
Austria,4/9/2021,Pfizer/BioNTech,1495983
Austria,4/16/2021,Johnson&Johnson,88
Austria,4/16/2021,Moderna,222432
Austria,4/16/2021,Oxford/AstraZeneca,608078
Austria,4/16/2021,Pfizer/BioNTech,1729369
Austria,4/23/2021,Johnson&Johnson,93
Austria,4/23/2021,Moderna,259719
Austria,4/23/2021,Oxford/AstraZeneca,657004
Austria,4/23/2021,Pfizer/BioNTech,1992543
Austria,4/30/2021,Johnson&Johnson,351
Austria,4/30/2021,Moderna,298635
Austria,4/30/2021,Oxford/AstraZeneca,699448
Austria,4/30/2021,Pfizer/BioNTech,2265615
